@relation lbpFeatur_file
@attribute bin0 real
@attribute bin1 real
@attribute bin2 real
@attribute bin3 real
@attribute bin4 real
@attribute bin5 real
@attribute bin6 real
@attribute bin7 real
@attribute bin8 real
@attribute bin9 real
@attribute bin10 real
@attribute bin11 real
@attribute bin12 real
@attribute bin13 real
@attribute bin14 real
@attribute bin15 real
@attribute bin16 real
@attribute bin17 real
@attribute bin18 real
@attribute bin19 real
@attribute bin20 real
@attribute bin21 real
@attribute bin22 real
@attribute bin23 real
@attribute bin24 real
@attribute bin25 real
@attribute bin26 real
@attribute bin27 real
@attribute bin28 real
@attribute bin29 real
@attribute bin30 real
@attribute bin31 real
@attribute bin32 real
@attribute bin33 real
@attribute bin34 real
@attribute bin35 real
@attribute bin36 real
@attribute bin37 real
@attribute bin38 real
@attribute bin39 real
@attribute bin40 real
@attribute bin41 real
@attribute bin42 real
@attribute bin43 real
@attribute bin44 real
@attribute bin45 real
@attribute bin46 real
@attribute bin47 real
@attribute bin48 real
@attribute bin49 real
@attribute bin50 real
@attribute bin51 real
@attribute bin52 real
@attribute bin53 real
@attribute bin54 real
@attribute bin55 real
@attribute bin56 real
@attribute bin57 real
@attribute bin58 real
@attribute group {0,1}
@data
5.044734e-02, 9.154783e-03, 4.081241e-03, 6.513980e-03, 1.435636e-02, 5.793761e-03, 1.064324e-02, 4.145260e-03, 8.002433e-03, 5.921800e-03, 7.490277e-03, 1.229174e-02, 9.410861e-03, 1.627695e-02, 1.075527e-02, 1.313999e-02, 5.473664e-03, 1.046718e-02, 1.257982e-02, 2.770442e-02, 1.141147e-02, 1.053120e-02, 1.392423e-02, 8.002433e-03, 1.582881e-02, 1.885373e-02, 2.778445e-02, 1.302796e-02, 1.277188e-02, 3.585090e-03, 6.209888e-03, 1.243578e-02, 3.016917e-02, 7.474272e-03, 8.658632e-03, 1.209968e-02, 6.449961e-03, 1.626094e-02, 3.463453e-02, 3.280997e-02, 9.810983e-03, 1.177958e-02, 5.009523e-03, 1.533266e-02, 1.365215e-02, 1.072326e-02, 6.946112e-03, 8.722652e-03, 1.216370e-02, 8.338535e-03, 1.048319e-02, 1.041917e-02, 9.570910e-03, 1.041917e-02, 1.301196e-02, 1.451641e-02, 9.378851e-03, 9.023543e-02, 1.819113e-01, 1
7.331054e-02, 1.210830e-02, 7.169169e-03, 8.391562e-03, 1.575896e-02, 8.044667e-03, 8.490675e-03, 6.227596e-03, 8.424600e-03, 5.698994e-03, 5.665956e-03, 1.200918e-02, 9.250541e-03, 1.224045e-02, 9.085353e-03, 9.366173e-03, 6.211078e-03, 9.118390e-03, 9.564399e-03, 1.280209e-02, 8.011629e-03, 1.005996e-02, 1.594066e-02, 8.507194e-03, 1.007648e-02, 1.599022e-02, 1.452005e-02, 1.024167e-02, 1.154666e-02, 5.104316e-03, 9.167947e-03, 1.197615e-02, 2.510861e-02, 6.557973e-03, 9.167947e-03, 1.359499e-02, 9.349654e-03, 1.579199e-02, 2.738821e-02, 1.813767e-02, 1.017560e-02, 1.237260e-02, 5.434693e-03, 1.258734e-02, 1.334721e-02, 1.027471e-02, 1.045642e-02, 6.706642e-03, 9.696549e-03, 1.047293e-02, 1.179444e-02, 7.813403e-03, 9.366173e-03, 1.491650e-02, 8.969721e-03, 1.230652e-02, 9.696549e-03, 1.015082e-01, 2.169252e-01, 1
5.441010e-02, 1.292075e-02, 3.881723e-03, 9.412903e-03, 1.384445e-02, 7.389569e-03, 1.639561e-02, 3.078987e-03, 6.652811e-03, 5.333245e-03, 1.009468e-02, 9.775784e-03, 6.004025e-03, 1.248089e-02, 9.753791e-03, 1.438327e-02, 3.903716e-03, 6.531851e-03, 6.729786e-03, 1.271182e-02, 7.026688e-03, 1.014966e-02, 1.399839e-02, 6.971706e-03, 1.307470e-02, 1.449323e-02, 1.597774e-02, 8.885077e-03, 1.249189e-02, 4.178625e-03, 9.808773e-03, 1.254687e-02, 2.617139e-02, 9.599842e-03, 1.172214e-02, 1.057852e-02, 7.994370e-03, 2.007939e-02, 2.994315e-02, 2.995415e-02, 1.315167e-02, 1.756122e-02, 5.806090e-03, 1.369050e-02, 1.296473e-02, 1.465818e-02, 1.013866e-02, 1.086443e-02, 1.404238e-02, 1.190908e-02, 1.685745e-02, 9.072015e-03, 1.118332e-02, 1.145823e-02, 8.995041e-03, 1.315167e-02, 6.377902e-03, 1.055983e-01, 1.911831e-01, 0
7.416229e-02, 1.253051e-02, 6.435387e-03, 8.935572e-03, 1.495673e-02, 7.234263e-03, 9.793624e-03, 5.666100e-03, 7.308233e-03, 4.097936e-03, 5.177898e-03, 1.409868e-02, 8.891190e-03, 1.177602e-02, 7.441379e-03, 7.323027e-03, 8.210666e-03, 1.022265e-02, 9.571714e-03, 1.516384e-02, 8.092315e-03, 9.527332e-03, 1.687995e-02, 9.645684e-03, 1.091797e-02, 1.355130e-02, 1.611066e-02, 1.045935e-02, 1.034100e-02, 5.695688e-03, 8.402988e-03, 1.477920e-02, 2.245728e-02, 8.107109e-03, 9.690066e-03, 1.266366e-02, 8.343812e-03, 1.396553e-02, 2.683630e-02, 2.239811e-02, 1.082920e-02, 1.130261e-02, 5.044752e-03, 9.290628e-03, 1.087359e-02, 1.069606e-02, 9.527332e-03, 6.849619e-03, 9.083512e-03, 9.749242e-03, 1.057771e-02, 7.604113e-03, 1.195355e-02, 1.235298e-02, 1.223463e-02, 1.461647e-02, 1.118426e-02, 1.003625e-01, 2.180043e-01, 1
5.345323e-02, 1.209659e-02, 4.929931e-03, 8.581732e-03, 1.510933e-02, 7.288386e-03, 1.488109e-02, 4.032197e-03, 6.968853e-03, 5.021226e-03, 8.825185e-03, 1.089454e-02, 7.212307e-03, 1.369425e-02, 1.090975e-02, 1.297911e-02, 5.219032e-03, 8.323063e-03, 8.855617e-03, 1.647875e-02, 9.768567e-03, 1.054457e-02, 1.472893e-02, 7.440544e-03, 1.066630e-02, 1.227918e-02, 1.752864e-02, 9.281660e-03, 1.208137e-02, 4.351729e-03, 8.840401e-03, 1.075760e-02, 3.035559e-02, 9.342524e-03, 1.129015e-02, 1.118364e-02, 7.851372e-03, 1.860897e-02, 3.081207e-02, 2.547131e-02, 1.182271e-02, 1.608314e-02, 6.603673e-03, 1.573318e-02, 1.205094e-02, 1.320735e-02, 9.175149e-03, 9.631625e-03, 1.258350e-02, 1.170098e-02, 1.375512e-02, 6.345004e-03, 9.190365e-03, 1.256828e-02, 9.570761e-03, 1.427245e-02, 9.342524e-03, 1.048067e-01, 1.926173e-01, 0
6.612277e-02, 1.215327e-02, 7.145670e-03, 1.072413e-02, 1.505655e-02, 8.552298e-03, 1.241209e-02, 3.252124e-03, 6.492995e-03, 4.782535e-03, 5.952850e-03, 1.120801e-02, 6.076633e-03, 1.259213e-02, 1.061160e-02, 8.912395e-03, 7.224442e-03, 7.528273e-03, 7.494514e-03, 1.390874e-02, 9.553818e-03, 8.462274e-03, 1.618185e-02, 7.325719e-03, 7.517020e-03, 8.293479e-03, 1.231081e-02, 8.124684e-03, 9.992686e-03, 3.949812e-03, 8.203455e-03, 1.412255e-02, 2.285489e-02, 8.642323e-03, 1.053283e-02, 1.242334e-02, 8.732347e-03, 2.036797e-02, 3.893546e-02, 2.608451e-02, 1.254712e-02, 1.690204e-02, 5.468970e-03, 1.632814e-02, 1.600180e-02, 1.225454e-02, 1.006020e-02, 6.256681e-03, 9.902661e-03, 1.152310e-02, 1.191695e-02, 5.311427e-03, 8.957407e-03, 1.366117e-02, 8.856130e-03, 1.451640e-02, 9.351263e-03, 1.026051e-01, 2.067631e-01, 0
6.557475e-02, 1.234965e-02, 7.772175e-03, 9.858265e-03, 1.442382e-02, 8.547009e-03, 1.270727e-02, 3.230459e-03, 6.294031e-03, 4.815888e-03, 6.198667e-03, 1.106224e-02, 6.091383e-03, 1.308872e-02, 1.062118e-02, 9.083432e-03, 7.164229e-03, 7.950983e-03, 7.784096e-03, 1.431654e-02, 1.010860e-02, 8.952306e-03, 1.634302e-02, 7.974824e-03, 7.581447e-03, 8.296678e-03, 1.307680e-02, 8.046347e-03, 8.415883e-03, 4.649000e-03, 8.678134e-03, 1.424501e-02, 2.350725e-02, 8.165552e-03, 1.097879e-02, 1.144369e-02, 8.618532e-03, 1.994302e-02, 3.839598e-02, 2.615361e-02, 1.258806e-02, 1.723706e-02, 5.769529e-03, 1.552051e-02, 1.633110e-02, 1.227813e-02, 1.020396e-02, 6.556283e-03, 1.033509e-02, 1.124104e-02, 1.182515e-02, 4.613239e-03, 9.536411e-03, 1.344634e-02, 8.523168e-03, 1.435230e-02, 8.570850e-03, 1.023019e-01, 2.062607e-01, 0
3.542753e-02, 1.048478e-02, 2.924703e-03, 7.422123e-03, 1.346467e-02, 6.539194e-03, 1.669288e-02, 1.986591e-03, 5.449328e-03, 3.711061e-03, 9.643241e-03, 8.898270e-03, 5.435532e-03, 1.540987e-02, 9.187981e-03, 1.924510e-02, 2.869520e-03, 6.525398e-03, 9.588058e-03, 2.298375e-02, 8.387827e-03, 1.142290e-02, 1.146428e-02, 6.001159e-03, 1.710675e-02, 2.763292e-02, 2.876418e-02, 1.051237e-02, 1.488563e-02, 2.138344e-03, 6.359849e-03, 1.134012e-02, 3.454460e-02, 1.013989e-02, 1.329912e-02, 9.781199e-03, 5.835610e-03, 1.798968e-02, 4.284965e-02, 4.195293e-02, 1.354744e-02, 1.763099e-02, 3.821428e-03, 8.912066e-03, 1.154706e-02, 1.364401e-02, 6.525398e-03, 1.059515e-02, 1.534089e-02, 1.129873e-02, 1.590652e-02, 1.143669e-02, 1.189195e-02, 9.381122e-03, 1.296802e-02, 1.540987e-02, 6.125321e-03, 1.007367e-01, 1.569820e-01, 0
5.001168e-02, 1.251387e-02, 3.577478e-03, 7.739034e-03, 1.388646e-02, 6.833713e-03, 1.328778e-02, 2.803575e-03, 6.760703e-03, 4.745634e-03, 1.283511e-02, 1.051340e-02, 7.038140e-03, 1.588692e-02, 8.702763e-03, 1.393026e-02, 3.227031e-03, 6.658490e-03, 8.454530e-03, 1.652941e-02, 8.994802e-03, 1.079084e-02, 1.502541e-02, 6.848315e-03, 1.292273e-02, 1.937679e-02, 2.412242e-02, 1.100987e-02, 1.296653e-02, 3.022604e-03, 7.008936e-03, 1.203201e-02, 2.962736e-02, 8.074879e-03, 1.073243e-02, 1.089306e-02, 6.906723e-03, 1.547807e-02, 3.422697e-02, 3.412476e-02, 1.219263e-02, 1.482098e-02, 4.000935e-03, 7.943461e-03, 9.170025e-03, 1.265989e-02, 8.688161e-03, 9.797909e-03, 1.245546e-02, 1.111208e-02, 1.511302e-02, 8.629753e-03, 1.162315e-02, 1.149174e-02, 1.004614e-02, 1.334618e-02, 7.038140e-03, 1.056743e-01, 1.940745e-01, 1
5.820881e-02, 1.239367e-02, 5.479976e-03, 9.589958e-03, 1.667888e-02, 8.793450e-03, 1.095995e-02, 3.010801e-03, 7.311944e-03, 4.492306e-03, 6.260554e-03, 1.170867e-02, 6.340205e-03, 1.320610e-02, 1.057763e-02, 1.169274e-02, 4.858699e-03, 7.471246e-03, 7.869500e-03, 1.360436e-02, 8.618218e-03, 1.035461e-02, 1.645586e-02, 7.152643e-03, 1.017937e-02, 1.088030e-02, 1.436901e-02, 9.382866e-03, 1.153344e-02, 3.632077e-03, 7.853570e-03, 1.548412e-02, 2.397489e-02, 7.057062e-03, 1.121483e-02, 1.279192e-02, 8.156243e-03, 1.833562e-02, 4.051040e-02, 2.919999e-02, 1.094402e-02, 1.739574e-02, 4.826839e-03, 1.306273e-02, 1.355657e-02, 1.118297e-02, 9.048332e-03, 7.120782e-03, 1.102367e-02, 1.099181e-02, 1.314238e-02, 5.511836e-03, 9.446586e-03, 1.304680e-02, 8.697869e-03, 1.397075e-02, 8.474846e-03, 1.077994e-01, 2.031096e-01, 0
5.509245e-02, 1.024462e-02, 3.596655e-03, 6.829750e-03, 1.407500e-02, 5.011946e-03, 1.328295e-02, 2.934455e-03, 5.141789e-03, 2.168381e-03, 5.842942e-03, 1.102368e-02, 6.842734e-03, 1.280253e-02, 6.362314e-03, 9.699283e-03, 5.349538e-03, 8.595616e-03, 8.517711e-03, 1.985302e-02, 7.452997e-03, 8.751428e-03, 1.790537e-02, 7.764620e-03, 1.264672e-02, 1.320505e-02, 2.017763e-02, 1.068609e-02, 1.291939e-02, 3.207126e-03, 6.868703e-03, 1.084190e-02, 3.279838e-02, 8.322946e-03, 9.114989e-03, 1.112756e-02, 6.466189e-03, 1.747689e-02, 3.205827e-02, 3.318791e-02, 1.099771e-02, 1.568505e-02, 3.518749e-03, 1.028358e-02, 1.219227e-02, 1.228316e-02, 7.959385e-03, 7.284201e-03, 1.220526e-02, 1.124442e-02, 1.446453e-02, 7.440012e-03, 1.180274e-02, 1.419186e-02, 1.181573e-02, 1.737301e-02, 8.309962e-03, 1.142100e-01, 2.004908e-01, 0
7.870275e-02, 1.148247e-02, 6.219671e-03, 8.526417e-03, 1.944501e-02, 8.270111e-03, 9.876290e-03, 5.177363e-03, 7.432848e-03, 3.981273e-03, 5.006493e-03, 1.204634e-02, 7.603718e-03, 9.842116e-03, 6.698107e-03, 7.039847e-03, 7.279065e-03, 8.270111e-03, 8.885244e-03, 1.185838e-02, 6.373454e-03, 9.739594e-03, 1.987219e-02, 9.192810e-03, 8.714374e-03, 1.108947e-02, 1.399426e-02, 8.919418e-03, 1.090151e-02, 5.826669e-03, 8.406807e-03, 1.267856e-02, 2.082906e-02, 6.868977e-03, 9.722507e-03, 1.650605e-02, 8.218850e-03, 1.213177e-02, 2.532294e-02, 2.123915e-02, 9.654159e-03, 1.445561e-02, 3.878751e-03, 7.347413e-03, 8.440981e-03, 9.893377e-03, 9.380767e-03, 5.023580e-03, 6.886064e-03, 9.329506e-03, 1.148247e-02, 7.210717e-03, 9.517463e-03, 1.635227e-02, 9.329506e-03, 1.382339e-02, 9.483289e-03, 1.117319e-01, 2.365867e-01, 1
3.823588e-02, 8.484886e-03, 2.325259e-03, 6.021035e-03, 1.255024e-02, 3.926762e-03, 1.424414e-02, 3.403194e-03, 5.235683e-03, 2.017278e-03, 4.943100e-03, 1.213446e-02, 7.530144e-03, 1.335099e-02, 5.543664e-03, 9.562820e-03, 3.803570e-03, 7.945918e-03, 1.141071e-02, 1.960301e-02, 6.713993e-03, 1.020958e-02, 1.338179e-02, 6.021035e-03, 1.581484e-02, 2.336038e-02, 3.343137e-02, 1.210367e-02, 1.747794e-02, 2.309860e-03, 5.620659e-03, 1.188808e-02, 4.590462e-02, 7.915120e-03, 8.792867e-03, 9.270238e-03, 4.404133e-03, 1.669259e-02, 3.782011e-02, 5.432791e-02, 1.214986e-02, 1.638461e-02, 2.802630e-03, 7.637937e-03, 1.087174e-02, 1.251944e-02, 6.590801e-03, 7.622538e-03, 1.085634e-02, 1.053296e-02, 1.710836e-02, 1.042517e-02, 1.053296e-02, 9.470426e-03, 1.344339e-02, 1.533747e-02, 8.500285e-03, 1.140917e-01, 1.673879e-01, 0
